Health and Survival;;;Political Empowerment;;;;;
Rank;Country;Score (0–1);Rank;Country;Score (0–1);;;
1;Belarus;0,980;1;Iceland;0,901;;;
1;Belize;0,980;2;Norway;0,765;;;
1;Botswana;0,980;3;New Zealand;0,725;;;
1;Brazil;0,980;4;Finland;0,700;;;
1;Cabo Verde;0,980;5;Germany;0,634;;;
1;Dominican Republic;0,980;6;Nicaragua;0,626;;;
1;El Salvador;0,980;7;Bangladesh;0,552;;;
1;Eswatini;0,980;8;Mozambique;0,542;;;
1;Guatemala;0,980;9;Rwanda;0,541;;;
1;Hungary;0,980;10;Costa Rica;0,524;;;
1;Kyrgyzstan;0,980;11;Sweden;0,503;;;
1;Lesotho;0,980;12;Chile;0,502;;;
1;Lithuania;0,980;13;South Africa;0,497;;;
1;Malawi;0,980;14;Switzerland;0,491;;;
1;Mauritius;0,980;15;Mexico;0,490;;;
1;Mongolia;0,980;16;Belgium;0,486;;;
1;Mozambique;0,980;17;Ireland;0,482;;;
1;Namibia;0,980;18;Spain;0,475;;;
1;Poland;0,980;19;United Kingdom;0,472;;;
1;Romania;0,980;20;Lithuania;0,466;;;
1;Slovakia;0,980;21;Netherlands;0,460;;;
1;Sri Lanka;0,980;22;Peru;0,450;;;
1;Uganda;0,980;23;Namibia;0,443;;;
1;Uruguay;0,980;24;Denmark;0,432;;;
1;Zambia;0,980;25;Ethiopia;0,431;;;
1;Zimbabwe;0,980;26;Argentina;0,429;;;
27;Burundi;0,979;27;Latvia;0,424;;;
28;Bulgaria;0,979;28;Albania;0,419;;;
29;South Africa;0,979;29;Australia;0,412;;;
30;Togo;0,979;30;Philippines;0,409;;;
31;Suriname;0,979;31;Estonia;0,377;;;
32;Estonia;0,979;32;Serbia;0,376;;;
33;Côte d'Ivoire;0,978;33;Canada;0,374;;;
34;Nicaragua;0,978;34;Colombia;0,373;;;
35;Croatia*;0,978;35;United Arab Emirates;0,363;;;
36;Ghana;0,978;36;Slovenia;0,358;;;
37;Czech Republic;0,978;37;Senegal;0,353;;;
38;Cambodia;0,978;38;Portugal;0,352;;;
39;Burkina Faso;0,978;39;France;0,338;;;
40;Moldova, Republic of;0,977;40;Cabo Verde;0,334;;;
41;Argentina;0,977;41;Burundi;0,320;;;
42;Thailand;0,977;42;Bolivia (Plurinational State of);0,317;;;
43;Congo, Dem. Rep. of the;0,976;43;Luxembourg;0,315;;;
44;Angola;0,976;44;Moldova, Republic of;0,314;;;
45;Ukraine;0,976;45;Tanzania, United Republic of;0,309;;;
46;Korea, Republic of;0,976;46;Angola;0,305;;;
47;Kazakhstan;0,975;47;Croatia;0,305;;;
47;Myanmar;0,975;48;Austria;0,303;;;
49;Mexico;0,975;49;Uganda;0,297;;;
50;Lao PDR;0,975;50;Liberia;0,287;;;
51;Colombia;0,975;51;North Macedonia;0,283;;;
52;Latvia;0,975;52;Honduras;0,278;;;
53;Kenya;0,975;53;Ecuador;0,278;;;
54;Paraguay;0,975;54;Nepal;0,276;;;
55;Rwanda;0,974;55;El Salvador;0,265;;;
56;Georgia;0,974;56;Brazil;0,263;;;
57;Cameroon;0,973;57;Jamaica;0,263;;;
58;Panama;0,973;58;Barbados;0,256;;;
59;Japan;0,973;59;India;0,253;;;
60;Costa Rica;0,973;60;Timor-Leste;0,253;;;
61;Benin;0,973;61;Panama;0,252;;;
62;Portugal;0,973;62;Malta;0,251;;;
63;Slovenia;0,972;63;United States of America;0,248;;;
64;Germany;0,972;64;Italy;0,241;;;
65;Vanuatu;0,971;65;Bosnia and Herzegovina;0,240;;;
66;Singapore;0,971;66;Suriname;0,232;;;
67;Ethiopia;0,971;67;Malawi;0,224;;;
68;Lebanon;0,971;68;Singapore;0,220;;;
69;Chile;0,970;69;Belarus;0,217;;;
70;Tajikistan;0,970;70;Guinea;0,217;;;
71;Finland;0,970;71;Armenia;0,215;;;
72;Chad;0,970;72;Zimbabwe;0,214;;;
73;Indonesia;0,970;73;Poland;0,211;;;
74;Bosnia and Herzegovina;0,970;74;Cameroon;0,210;;;
75;Tanzania, United Republic of;0,970;75;Kenya;0,209;;;
76;France;0,970;76;Madagascar;0,201;;;
77;Austria;0,970;77;Tunisia;0,197;;;
78;United States of America;0,970;78;Mali;0,192;;;
